index,job_title,minimum_salary,maximum_salary,rating,company_name,location,headquarters,size,founded,company_age,type_of_ownership,industry,sector,revenue
0,Sr Data Scientist,137000,171000,3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,1993,31,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
1,Data Scientist,137000,171000,4.2,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,56,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
2,Data Scientist,137000,171000,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,43,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD)
3,Data Scientist,137000,171000,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,24,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD)
4,Data Scientist,137000,171000,2.9,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,1998,26,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
5,Data Scientist,137000,171000,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010,14,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
6,Data Scientist / Machine Learning Expert,137000,171000,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,28,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
7,Data Scientist,137000,171000,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,34,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD)
8,Staff Data Scientist - Analytics,137000,171000,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,41,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
9,Data Scientist,137000,171000,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,2014,10,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
10,Data Scientist,137000,171000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
11,Data Scientist,137000,171000,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,8,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
12,"Data Scientist - Statistics, Early Career",137000,171000,3.7,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,59,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
13,Data Modeler,137000,171000,3.1,Old World Industries,"Northbrook, IL","Northbrook, IL",201 to 500 employees,1973,51,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD)
14,Data Scientist,137000,171000,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,38,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
15,Experienced Data Scientist,137000,171000,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,27,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable
16,Data Scientist - Contract,137000,171000,4.1,Upside Business Travel,Remote,"Washington, DC",51 to 200 employees,2015,9,Company - Private,Internet,Information Technology,$500 million to $1 billion (USD)
17,Data Scientist,137000,171000,3.5,Buckman,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,79,Company - Private,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
18,Data Analyst II,137000,171000,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,36,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
19,Medical Lab Scientist,137000,171000,3.5,Tower Health,"West Grove, PA","Reading, PA",5001 to 10000 employees,2017,7,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
20,Data Scientist,137000,171000,3.2,Triplebyte,"New York, NY","San Francisco, CA",51 to 200 employees,2015,9,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
21,Data Scientist/Machine Learning,137000,171000,4.3,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011,13,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
22,Human Factors Scientist,137000,171000,3.5,Exponent,"Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,1967,57,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
23,Business Intelligence Analyst I- Data Insights,137000,171000,3.5,Guardian Life,"Appleton, WI","New York, NY",5001 to 10000 employees,1860,164,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD)
24,Data Scientist,137000,171000,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,32,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD)
25,Data Scientist,137000,171000,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,21,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
26,Data Scientist - Risk,137000,171000,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,1996,28,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
27,Data Scientist-Human Resources,137000,171000,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,73,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD)
28,Data Scientist,137000,171000,4.5,Kingfisher Systems,"McLean, VA","Falls Church, VA",51 to 200 employees,2005,19,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable
29,Data Scientist,137000,171000,2.8,Formation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,9,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
30,Data Scientist,75000,131000,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,43,Private Practice / Firm,Consulting,Business Services,$10+ billion (USD)
31,Data Scientist / Machine Learning Expert,75000,131000,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,28,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
32,Data Scientist,75000,131000,5.0,Cohere Health,"Boston, MA","Boston, MA",1 to 50 employees,2019,5,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD)
33,Senior Research Statistician- Data Scientist,75000,131000,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,99,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD)
